Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,156.790,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,4699,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,startpeanut2+,,POINT,219.786,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,6587,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,START,223.623,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,6702,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,target,,STOP,264.064,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7914,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,sniffing,,POINT,264.965,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7941,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,START,265.031,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7943,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,bending,,STOP,265.465,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7956,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,grabbing peanut,,POINT,265.465,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7956,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,teeth-hole contact,,POINT,265.465,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7956,NA,
ligh_1605_bloc1bis,2025-07-07 14:33:41.056,,1028.494,Media file(s),player #1:C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,0.0,1062.061,29.970,Lightnose,lifting,,START,265.499,C:\Users\esthe\Downloads\ligh_1605_bloc1bis\GP010699.MP4,7957,NA,
