date,time.of.day,time (UTC),temperature (°C),Study site,ID,weather,Fruit,unstem,peel,transported,scatter.hoarded,eaten.lifted,eaten.on.the.floor,peeled.lifted,rotate,scent-marking,handling.only,comments,order taken,trials before first bite,peel bouts before first eating bout,hands used while eating,bite for each peeling bout (mean),total peeling bout,trials before scatterhoarding,leaf on top,time.first.peeling,time.first.eating,nb of eating bout before second peeling bout,,,,
23/03/2025,morning,NA,NA,Airbnb1,Unidentified,sunny,orange,0,NA,NA,NA,NA,NA,0,NA,0,0,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
23/03/2025,morning,NA,NA,Airbnb1,Unidentified,sunny,orange,0,NA,NA,NA,NA,NA,0,NA,0,0,Abandonned,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,20:55,27,Airbnb2,Unidentified,cloudy,banana,0,1,0,0,0,1,0,0,0,0,,1/6,3,2,0,8,2,NA,NA,,,,,,,
21/03/2025,afternoon,20:56,27,Airbnb2,Unidentified,cloudy,apple,0,0,1,0,0,0,0,0,0,0,no sight on eating,2/6,13,NA,NA,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,21:25,28,Airbnb2,Unidentified,cloudy,apple,0,0,1,0,0,1,0,1,0,0,"rotates with 2 hands. Main eating without peeling, sometimes peel a little. Displaced 3 times by congeners",3/6,2,NA,2,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,21:28,28,Airbnb2,Unidentified,cloudy,banana,0,0,1,0,0,0,0,0,0,,,4/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
21/03/2025,afternoon,22:56,29,Airbnb2,Unidentified,cloudy,orange,0,1,0,0,0,1,0,1,0,,eat with two hands on orange,5/6,0,5,2,8,9,NA,NA,,,,,,,
21/03/2025,afternoon,23:05,31,Airbnb2,Unidentified,cloudy,orange,0,1,0,0,0,1,0,1,0,,,6/6,0,4,2,7,7,NA,NA,,,,,,,
22/03/2025,afternoon,20:10,31,Airbnb2,Unidentified,cloudy,banana,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,1/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:12,31,Airbnb2,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,2/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
22/03/2025,afternoon,20:22,31,Airbnb2,Unidentified,cloudy,apple,0,NA,1,NA,NA,NA,0,NA,0,,eaten out of sight,3/6,NA,NA,NA,NA,NA,NA,NA,,,,,,,
