Day,Time,ID,type,order_taken,rotation,scatter-hoard,leaf,eaten,N_congeners_around,Session,bloc_number,Comments,teeth-hole contact,,,,,,,,,,,,,
19/04,,1,1cm_hole,18,1,1,0,0,0,5,,,,,,,,,,,,,,,,
19/04,,1,wet_1cm_hole,19,1,0,0,1,0,5,,,,,,,,,,,,,,,,
19/04,,1,control,20,1,1,0,0,0,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
21/04,05:32,Grizzly,control,1,0,1,0,0,1,6,,Female. SH 3 bread pieces before start of session. Eat 5 peanuts before first peanut SH at 5:32.,,,,,,,,,,,,,,
21/04,,Grizzly,control,2,0,0,0,1,1,6,"1,,1,2",,,,,,,,,,,,,,,
21/04,,Grizzly,control,3,0,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Grizzly,control,4,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,control,1,1,1,0,0,3,6,,Eats 5 peanuts before first SH,,,,,,,,,,,,,,
21/04,,Juvenile,control,2,1,1,1,0,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,crushed,3,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,2cm_hole,4,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,1cm_hole,5,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,control,6,1,1,1,0,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,crushed,7,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Juvenile,1cm_hole,8,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,1,1,0,0,1,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,3,1,1,1,0,3,6,,Mâle. Eat 5 peanuts before first SH.,,,,,,,,,,,,,,
21/04,,Biche,control,4,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,5,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,6,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,empty,7,1,1,0,0,3,6,,,,,,,,,,,,,,,,
21/04,,Biche,empty,8,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,9,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,10,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,control,11,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,12,1,1,0,0,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,13,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,14,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,15,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,crushed,16,1,0,0,1,2,6,,,,,,,,,,,,,,,,
21/04,,Biche,1cm_hole,17,1,1,1,0,2,6,,,,,,,,,,,,,,,,
28/04,09:30,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
28/04,,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
28/04,,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
28/04,,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
28/04,,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
28/04,,Dumbo,empty,NA,0,1,1,0,4,7,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,1,0,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,2,0,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,3,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,4,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,5,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,6,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,7,0,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,8,1,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,9,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,10,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,11,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,12,1,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,13,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,14,0,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,15,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,16,0,1,1,0,4,8,,peel and SH peanut without shell,,,,,,,,,,,,,,
29/04,,Grizzly,empty,17,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,18,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,19,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,20,1,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,21,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,22,1,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,23,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,24,1,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,empty,25,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,26,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,27,0,0,NA,1,4,8,,,,,,,,,,,,,,,,
29/04,,Grizzly,control,28,1,1,NA,0,4,8,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,control,1,1,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,empty,2,1,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,control,3,1,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,control,4,1,1,NA,0,4,9,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,empty,5,1,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Dosbicolore,control,6,1,1,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,1,0,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,2,0,1,NA,0,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,3,0,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,4,0,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,5,1,1,NA,0,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,6,1,0,NA,1,4,9,,,,,,1,,,,,,,,,,","
30/04,,Gorgeous,control,7,0,0,NA,1,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,8,1,1,NA,0,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,9,0,1,NA,0,4,9,,,,,,,,,,,,,,,,
30/04,,Gorgeous,control,10,0,1,NA,0,4,9,,,,,,,,,,,,,,,,
06/05,,Tom,control,1,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,2,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,3,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,4,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,5,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,empty,6,0,0,NA,1,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,7,0,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,empty,8,0,0,NA,0,0,10,,ignored,,,,,,,,,,,,,,
06/05,,Tom,empty,9,0,0,NA,0,0,10,,ignored,,,,,,,,,,,,,,
06/05,,Tom,control,10,0,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,11,1,0,NA,1,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,empty,12,0,0,NA,0,0,10,,ignored,,,,,,,,,,,,,,
06/05,,Tom,control,13,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,14,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,15,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,16,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,empty,17,0,0,NA,0,0,10,,ignored,,,,,,,,,,,,,,
06/05,,Tom,control,18,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,19,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,20,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,21,1,1,NA,0,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,22,1,0,NA,1,0,10,,,,,,,,,,,,,,,,
06/05,,Tom,control,23,1,0,NA,1,0,10,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,1,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,2,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,3,0,1,NA,0,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,empty,4,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,5,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,6,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,7,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,8,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,9,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,10,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
07/05,,Sidemark,control,11,0,0,NA,1,2,11,,,,,,,,,,,,,,,,
